Date,Close,High,Low,Open,Volume
,AEHL,AEHL,AEHL,AEHL,AEHL
2024-04-10,64.0,68.80000305175781,52.79999923706055,54.79999923706055,13163
2024-04-11,66.0,72.0,58.79999923706055,64.0,7285
2024-04-12,64.80000305175781,69.19999694824219,63.599998474121094,64.80000305175781,1578
2024-04-15,63.599998474121094,65.19999694824219,58.79999923706055,65.19999694824219,2500
2024-04-16,69.5999984741211,73.5999984741211,59.20000076293945,60.400001525878906,10513
2024-04-17,73.19999694824219,73.5999984741211,65.5999984741211,66.80000305175781,2225
2024-04-18,73.19999694824219,78.0,70.80000305175781,72.4000015258789,3895
2024-04-19,82.80000305175781,83.19999694824219,66.4000015258789,71.19999694824219,8918
2024-04-22,76.4000015258789,88.0,76.0,78.80000305175781,4348
2024-04-23,78.0,80.0,74.0,76.0,655
2024-04-24,74.80000305175781,80.0,74.4000015258789,76.4000015258789,665
2024-04-25,79.19999694824219,81.19999694824219,75.19999694824219,76.0,838
2024-04-26,82.80000305175781,83.5999984741211,76.0,83.5999984741211,923
2024-04-29,81.19999694824219,81.5999984741211,74.4000015258789,74.4000015258789,1185
2024-04-30,76.0,81.19999694824219,72.0,80.4000015258789,1050
2024-05-01,75.5999984741211,78.4000015258789,72.0,77.19999694824219,1085
2024-05-02,72.80000305175781,78.80000305175781,70.0,78.80000305175781,760
2024-05-03,74.80000305175781,74.80000305175781,70.4000015258789,74.80000305175781,305
2024-05-06,76.0,76.80000305175781,71.19999694824219,76.80000305175781,413
2024-05-07,78.4000015258789,79.19999694824219,72.0,72.0,888
2024-05-08,74.4000015258789,79.19999694824219,71.5999984741211,78.0,1193
2024-05-09,73.5999984741211,76.4000015258789,71.19999694824219,76.4000015258789,830
2024-05-10,76.4000015258789,76.4000015258789,50.0,56.0,56663
2024-05-13,61.599998474121094,70.4000015258789,55.20000076293945,65.19999694824219,6203
2024-05-14,60.0,66.80000305175781,55.599998474121094,60.400001525878906,5905
2024-05-15,56.0,59.20000076293945,54.79999923706055,58.0,2545
2024-05-16,56.0,57.599998474121094,52.79999923706055,54.400001525878906,1485
2024-05-17,56.0,60.0,54.0,54.79999923706055,2865
2024-05-20,56.400001525878906,59.20000076293945,55.20000076293945,55.20000076293945,1778
2024-05-21,56.79999923706055,60.0,55.20000076293945,56.0,7263
2024-05-22,56.79999923706055,58.79999923706055,55.599998474121094,55.599998474121094,1730
2024-05-23,56.400001525878906,58.0,55.599998474121094,56.0,550
2024-05-24,57.599998474121094,58.0,55.20000076293945,55.20000076293945,215
2024-05-28,58.0,59.599998474121094,56.79999923706055,57.599998474121094,325
2024-05-29,58.400001525878906,60.79999923706055,56.79999923706055,60.79999923706055,258
2024-05-30,58.400001525878906,59.599998474121094,56.79999923706055,59.20000076293945,753
2024-05-31,59.20000076293945,59.20000076293945,57.20000076293945,58.79999923706055,210
2024-06-03,59.20000076293945,60.0,56.0,59.20000076293945,418
2024-06-04,66.0,66.0,56.400001525878906,57.20000076293945,3985
2024-06-05,68.80000305175781,72.0,62.0,64.0,4765
2024-06-06,71.19999694824219,71.5999984741211,68.0,68.80000305175781,755
2024-06-07,71.19999694824219,74.0,65.5999984741211,68.4000015258789,3588
2024-06-10,71.5999984741211,72.0,67.19999694824219,70.80000305175781,508
2024-06-11,68.80000305175781,71.19999694824219,66.0,69.5999984741211,3570
2024-06-12,73.19999694824219,76.0,66.80000305175781,66.80000305175781,4308
2024-06-13,79.5999984741211,80.4000015258789,70.80000305175781,72.0,3355
2024-06-14,78.80000305175781,79.5999984741211,74.4000015258789,77.19999694824219,2380
2024-06-17,81.5999984741211,84.0,74.80000305175781,77.19999694824219,1128
2024-06-18,80.4000015258789,81.5999984741211,78.0,80.0,290
